index,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
44418,KSC,BTS,48.663,21.241,48.17,17.212
44419,KSC,PRG,48.663,21.241,50.101,14.26
44421,LED,KLV,59.8,30.265,50.203,12.915
44422,LED,PRG,59.8,30.265,50.101,14.26
44423,LPA,MAD,27.932,-15.386,40.472,-3.561
44424,MAD,LPA,40.472,-3.561,27.932,-15.386
44425,MAD,PRG,40.472,-3.561,50.101,14.26
44426,MAD,TFN,40.472,-3.561,28.482,-16.341
44427,MLA,PRG,35.857,14.478,50.101,14.26
44428,MSQ,PRG,53.882,28.031,50.101,14.26
44429,MXP,PRG,45.631,8.728,50.101,14.26
44430,NCE,PRG,43.661,7.218,50.101,14.26
44431,OSR,PRG,49.696,18.111,50.101,14.26
44432,OTP,PRG,44.574,26.103,50.101,14.26
44433,PEE,PRG,57.917,56.026,50.101,14.26
44434,PMI,BCN,39.55,2.733,41.297,2.078
44435,PMI,PRG,39.55,2.733,50.101,14.26
44436,PRG,AGP,50.101,14.26,36.674,-4.499
44437,PRG,ALA,50.101,14.26,43.352,77.04
44438,PRG,AMS,50.101,14.26,52.309,4.764
44439,PRG,ARN,50.101,14.26,59.652,17.919
44440,PRG,BCN,50.101,14.26,41.297,2.078
44441,PRG,BRU,50.101,14.26,50.902,4.499
44442,PRG,BTS,50.101,14.26,48.17,17.212
44443,PRG,BUD,50.101,14.26,47.437,19.256
44444,PRG,CDG,50.101,14.26,49.013,2.55
44445,PRG,CEK,50.101,14.26,55.303,61.507
44446,PRG,CLJ,50.101,14.26,46.785,23.686
44447,PRG,CPH,50.101,14.26,55.618,12.656
44448,PRG,DUS,50.101,14.26,51.289,6.767
44449,PRG,EVN,50.101,14.26,40.148,44.397
44450,PRG,FCO,50.101,14.26,41.813,12.253
44451,PRG,FRA,50.101,14.26,50.026,8.543
44454,PRG,HAM,50.101,14.26,53.63,9.988
44455,PRG,HEL,50.101,14.26,60.32,24.956
44456,PRG,HER,50.101,14.26,35.339,25.18
44458,PRG,KBP,50.101,14.26,50.345,30.895
44459,PRG,KSC,50.101,14.26,48.663,21.241
44461,PRG,LED,50.101,14.26,59.8,30.265
44462,PRG,MAD,50.101,14.26,40.472,-3.561
44463,PRG,MLA,50.101,14.26,35.857,14.478
44464,PRG,MSQ,50.101,14.26,53.882,28.031
44465,PRG,MXP,50.101,14.26,45.631,8.728
44466,PRG,NCE,50.101,14.26,43.661,7.218
44467,PRG,OSR,50.101,14.26,49.696,18.111
44468,PRG,OTP,50.101,14.26,44.574,26.103
44469,PRG,PEE,50.101,14.26,57.917,56.026
44470,PRG,PMI,50.101,14.26,39.55,2.733
44471,PRG,RHO,50.101,14.26,36.405,28.086
44473,PRG,ROV,50.101,14.26,47.258,39.818
44474,PRG,SOF,50.101,14.26,42.695,23.406
44475,PRG,SVO,50.101,14.26,55.972,37.415
44476,PRG,SVX,50.101,14.26,56.741,60.804
44477,PRG,SXB,50.101,14.26,48.538,7.628
44478,PRG,TAS,50.101,14.26,41.257,69.282
44479,PRG,TLV,50.101,14.26,32.009,34.877
44480,PRG,TXL,50.101,14.26,52.559,13.287
44481,PRG,UFA,50.101,14.26,54.557,55.874
44482,PRG,VLC,50.101,14.26,39.489,-0.481
44483,PRG,WAW,50.101,14.26,52.166,20.967
44484,PRG,ZRH,50.101,14.26,47.465,8.549
44485,RHO,PRG,36.405,28.086,50.101,14.26
44487,ROV,PRG,47.258,39.818,50.101,14.26
44488,SOF,PRG,42.695,23.406,50.101,14.26
44489,SPU,PRG,43.539,16.298,50.101,14.26
44490,SVO,KLV,55.972,37.415,50.203,12.915
44491,SVO,PRG,55.972,37.415,50.101,14.26
44492,SVX,PRG,56.741,60.804,50.101,14.26
44493,SXB,PRG,48.538,7.628,50.101,14.26
44494,TAS,PRG,41.257,69.282,50.101,14.26
44495,TFN,MAD,28.482,-16.341,40.472,-3.561
44496,TLV,PRG,32.009,34.877,50.101,14.26
44497,TXL,PRG,52.559,13.287,50.101,14.26
44498,UFA,PRG,54.557,55.874,50.101,14.26
44499,VLC,PRG,39.489,-0.481,50.101,14.26
44500,WAW,PRG,52.166,20.967,50.101,14.26
44501,ZRH,PRG,47.465,8.549,50.101,14.26
44502,HKG,ULN,22.309,113.914,47.843,106.766
44504,NRT,ULN,35.765,140.386,47.843,106.766
44505,PEK,ULN,40.08,116.584,47.843,106.766
44506,SVO,TXL,55.972,37.415,52.559,13.287
44507,SVO,ULN,55.972,37.415,47.843,106.766
44508,TXL,SVO,52.559,13.287,55.972,37.415
44509,ULN,HKG,47.843,106.766,22.309,113.914
44511,ULN,NRT,47.843,106.766,35.765,140.386
44512,ULN,PEK,47.843,106.766,40.08,116.584
44513,ULN,SVO,47.843,106.766,55.972,37.415
44519,MAJ,TRW,7.065,171.272,1.381,173.147
44521,TRW,MAJ,1.381,173.147,7.065,171.272
44522,AMS,AUA,52.309,4.764,12.501,-70.015
44523,AMS,BON,52.309,4.764,12.131,-68.268
44524,AMS,CUR,52.309,4.764,12.189,-68.96
44525,AMS,HOG,52.309,4.764,20.786,-76.315
44526,AMS,POP,52.309,4.764,19.757,-70.57
44527,AMS,PUJ,52.309,4.764,18.567,-68.363
44529,AMS,VRA,52.309,4.764,23.034,-81.435
